Beteiligte;Titel_Sammlung;Objektbezeichnung;InvNr;Jahr_von;Jahr_bis;Datierung;Gattung;Geogr_Bezug;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;Beschreibung_Notizen
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Panoramablick von der Bleichstraße nach Süden, mit Dom, Paulskirche und Katharinenkirche, zweiteilige zusammengesetzte Fotografie;Stadtansicht, Stadttopographie;Ph01295;1855;1875;um 1865;Fotografie;Frankfurt am Main-Altstadt;"Bildmaß: 25,1 x 29,5 cm die linke Fotografie; Bildmaß: 25,1 x 31,7 cm die rechte Fotografie (variiert in der Breite um 0,2 cm); Bildmaß: 25,1 x 61,2 cm die zusammengesetzte Fotografie; Objektmaß: 54,5 x 72,9 cm";"Papier; kaschiert auf textiles Gewebe (Shirting); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der Blick geht über den Botanischen Garten und die nördliche Innenstadt zu Dom, Paulskirche und Katharinenkirche, vorne rechts das Bürgerhospital der Senckenbergischen Stiftung._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 75)"
Carl Friedrich Mylius;Alte Stadtwaage vor dem Abbruch;Architektur, Stadttopographie;C12197;1860;1880;um 1870;Architekturfotografie;Frankfurt am Main-Altstadt (Stadtwaage);"Bildmaß: 30,2 x 23,9 cm; Blattmaß: 33,3 x 26 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das spätgotische Gebäude diente als städtische Waage und Fruchtspeicher; es wurde Anfang 1874 wegen Baufälligkeit niedergelegt. Im Hintergrund der eingerüstete Domturm. Der bevorstehende Abriss wurde öffentlich bekannt gemacht, so daß Mylius das Bauwerk noch für die Nachwelt festhalten konnte._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 148)_x000D_
_x000D_
Steinhaus mit hohem Treppengiebel, Südseite, das Mauerwerk ist beschädigt, etwa in der Mitte des Gebäudes im rechten Winkel dazu befinden sich sehr niedrige Häuser, ein Pferdewagen und Karren stehen davor, hinter dem Dach mit den drei Gaubenreihen ein eingerüsteter Kirchturm"
Carl Friedrich Mylius;Der Dom und Pfarrturm von der Alten Brücke aus;Stadtansicht, Stadttopographie;Ph23990;1871;1880;1880;Fotografie;Frankfurt am Main-Altstadt, Alte Brücke, Dom;"Bildmaß: 32 x 21,1 cm; Blattmaß: 33,1 x 21,9 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"verso, oben mitte: ""Der Dom u. Pfarrthurm. 1880"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Nach der Beseitigung der Brandschäden hat der Dom eine neue Turmspitze erhalten, die im Oktober 1877 fertiggestellt wurde._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 33)_x000D_
_x000D_
_x000D_
Die Fassadenbeschriftungen:_x000D_
_x000D_
""Fischhandlung von I. Leonhard.""_x000D_
_x000D_
""Restauration von J. F. Re[von Mast verdeckt]neider._x000D_
Wein. Aepfelw[ein] & Bier."""
"Carl Friedrich Mylius, Originalfotografie 1860; Gottfried Vömel, (?), Reproduktionsfotografie/Neuabzug?";Domschule vor dem Umbau, mit Eingang zum alten Markt, 1860;Stadttopographie;Ph00346;1901;1915;Anfang 20. Jahrhundert;Fotografie;Frankfurt am Main-Altstadt, Alter Markt;"Bildmaß: 22,3 x 15,4 cm; Objektmaß: 36,1 x 26,4 cm";"Papier; auf Papier aufgezogen; Salzpapier mit Albumin-Schicht";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Mylius photographierte das Gebäude kurz vor dem Abriss im Jahr 1860. Auch hier bieten Marktfrauen Obst und Gemüse an._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 137, zu der Originalfotografie in Privatbesitz)_x000D_
_x000D_
Vergleiche das ähnliche Motiv Ph00134 (hier ist der Blick mehr von Osten, in Richtung Alter Markt)"
Carl Friedrich Mylius;Blick in den Alten Markt, Kanalarbeiten, rechts das Haus Großer Engel, im Hintergrund der eingerüstete Domturm;Stadttopographie;C28454;1859;1879;um 1869;Fotografie;Frankfurt am Main-Altstadt, Alter Markt;"Bildmaß: 27,1 x 26,4 cm Ecken abgeschrägt; Blattmaß: 30,1 x 29,4 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Mylius dokumentiert hier den Anschluss der mittelalterlichen Gebäude an die neuzeitliche Kanalisation. Im Hintergrund der bereits eingerüstete Domturm, rechts das Haus zum Großen Engel._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 140)_x000D_
_x000D_
Die Geschäfte vergleiche auch C28562):_x000D_
linkes Haus:_x000D_
""Reinhardt jr.""_x000D_
_x000D_
""[Kn]aben-Garderobe""_x000D_
""30 [Hausnummer] H. Umpfenbach. 30""_x000D_
_x000D_
""Cigarren_x000D_
Tabak""_x000D_
_x000D_
Haus Großer Engel:_x000D_
""[Same]n-Handlung_x000D_
und_x000D_
[...]iebeln-Lager_x000D_
von_x000D_
[Deum]er & Wirth""_x000D_
_x000D_
""Saemereien_x000D_
von Deumer und Wirth._x000D_
E. Stumpf=Pfefferkorn_x000D_
Nachfolger"""
Carl Friedrich Mylius;Madonna am Eck des Steinernen Haus auf dem alten Markt, 1464;Stadttopographie;C06854;1851;1860;1860;Fotografie;Frankfurt am Main-Altstadt, Alter Markt (Steinernes Haus);"Bildmaß: 24,2 x 17,3 cm; Blattmaß: 25,2 x 18 cm; Objektmaß: 52,9 x 36,6 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die spätgotische Skulptur befand sich an der westlichen Ecke der Vorderfront zum Römerberg. Der Baldachin wurde 1872 entfernt, weil sich Teile lösten und Marktfrauen sich gefährdet sahen, später aber wieder angebracht. Seit dem Wiederaufbau des Steinernen Hauses im Jahre 1962 ist dort eine Kopie zu sehen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 145)"
Carl Friedrich Mylius;Das Steinerne Haus am alten Markt;Stadttopographie;Ph00021;1871;1880;1878;Fotografie;Frankfurt am Main-Altstadt, Alter Markt (Steinernes Haus);"Bildmaß: 30,5 x 24,2 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"Papier; kaschiert auf textiles Gewebe (Shirting); Passepartout-Karton; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Steinerne Haus steht in der Altstadt nahe dem Römerberg am Eingang zum Alten Markt und wurde im 15. Jahrhundert von der aus Köln zugewanderten Kaufmannfamilie Melem errichtet. Der Name leitet sich daraus ab, daß es im Gegensatz zu den anderen Fachwerkhäusern der Altstadt aus Stein erbaut wurde._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 43)_x000D_
_x000D_
_x000D_
Ganz links das Schild ""Ph. Cron.""_x000D_
_x000D_
Am Steinernen Haus:_x000D_
""G. W. Wüstner.""_x000D_
_x000D_
""Adolph Winter_x000D_
[...]""_x000D_
_x000D_
""Jean A[...]_x000D_
Schlosserei_x000D_
im Hofe links""_x000D_
_x000D_
""Herr[en] &Knaben-Garderobe. G. Schülb.""_x000D_
_x000D_
""Zur [Pfeil nach rechts]_x000D_
Annahme von Bestellungen_x000D_
für das Möbeltransport=Geschäft_x000D_
von_x000D_
G. J. Jans [?]"""
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug";Mainuferansicht der Frankfurter Seite, Fahrtor, Rententurm, Bernus- und Burnitzbau, Saalhof, in Hintergrund Turm der Nikolaikirche;Stadtansicht, Stadttopographie;C18979r;1901;1910;"1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin)";Fotografie;Frankfurt am Main-Altstadt, Am Fahrtor;"Bildmaß: 19,7 x 25,8 cm; Objektmaß: 73 x 54,5 cm zusammen mit C18979o - C18979s auf einem Karton";"Papier; Silbergelatineabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Das Fahrtor war als Durchgang zum Römerberg der Hauptanlegeplatz. Der Rententurm war Teil der Stadtbefestigung und diente lange zur Erhebung der Hafen- und Zollgebühren. Der Bernusbau ist das Anfang des 18. Jahrhunderts erbaute Palais der Kaufmannsfamilie Bernus, den Burnitzbau entwarf der Architekt Rudolf Burnitz 1843 im neuromanischen Stil des Historismus._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 98, zu der Originalfotografie in Privatbesitz)"
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Blick von der Katharinenpforte in die Bleidenstraße;Stadttopographie;C19968;1870;1890;um 1880;Fotografie;Frankfurt am Main-Altstadt, Bleidenstraße 33-35;"Bildmaß: 24,3 x 16,1 cm; Blattmaß: 32,5 x 23,2 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten rechts, auf Original-Unterkarton: ""Bleidenstrasse"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die beiden Häuser in der Altstadt beherbergten damals eine kleine Hutfabrik und eine Schirmfabrikation._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 141)_x000D_
_x000D_
Die Geschäfte:_x000D_
Eckhaus links (mit Hausnummer 17):_x000D_
""Ruttmann Schreib[...]_x000D_
Cigarren_x000D_
Tabak_x000D_
Thee_x000D_
Rum_x000D_
Arrac_x000D_
[...]ratalon [?]_x000D_
Stopfen_x000D_
etc._x000D_
17""_x000D_
_x000D_
Haus mitte:_x000D_
""J. F. Hirsch.""_x000D_
_x000D_
""Magazin_x000D_
du_x000D_
[...]_x000D_
C. Otto._x000D_
Schuh_x000D_
&_x000D_
Stiefel-Lager""_x000D_
_x000D_
Haus rechts (kaum lesbar):_x000D_
""Schirm-Fabrik [...]"""
Carl Friedrich Mylius;Der Dom vom Turm der Paulskirche aus, im Vordergrund Dach des Steinernen Hauses;Architektur, Stadttopographie;C29103;1861;1870;1866;Architekturfotografie;Frankfurt am Main-Altstadt, Dom;"Bildmaß: 30,7 x 21,4 cm; Blattmaß: 34,2 x 24,3 cm die Breite variiert von oben 24,3 cm  bis unten 23,8 cm; Objektmaß: 53,1 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten, auf auf Original-Unterkarton: ""Aufgen. auf der Paulskirche für mein Werk 'Die Wahl u. Krönungskirche' ect. 1866""  (schwarze Tinte; Handschrift von C. F. Mylius, vergleiche C29099: hier ist auch der Hinweis von Mylius, daß dieses Werk im Selbstverlag erschien und 18 Gulden kostete)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Fahrgasse, Häuserreihe gegenüber der alten Mehlwaage;Stadttopographie;Ph04298;1881;1890;1886;Fotografie;Frankfurt am Main-Altstadt, Fahrgasse;"Bildmaß: 21,5 x 18,2 cm; Blattmaß: 42,3 x 30,4 cm; Objektmaß: 53 x 36,5 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, oben links: ""No 14458."" (schwarze Tinte)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Fahrgasse war eine sehr belebte Wohn- und Geschäftsstraße, die von der Zeil über die Schnurgasse direkt zur Alten Brücke führte._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 52, zu dem identischen Motiv C07969)_x000D_
_x000D_
_x000D_
Die Geschäftswerbung von links nach rechts:_x000D_
_x000D_
""Eisen_x000D_
Stahl_x000D_
Messing_x000D_
Waaren_x000D_
Ph. Manberger [sic]_x000D_
Holz.Fournier_x000D_
Handlung""_x000D_
_x000D_
""Holz u. Fournier Handlung_x000D_
Ph. Mannberger.""_x000D_
_x000D_
""A. Haagner-Fuchs""_x000D_
_x000D_
""Buchdruckerei & Verlag von Aug. Stritt""_x000D_
_x000D_
""Buchdruckerei_x000D_
von_x000D_
Aug. Stritt_x000D_
[...] Stock [...]""_x000D_
_x000D_
""Stuttgarter Schuhlager_x000D_
von_x000D_
G. A. JENSEN-HUBER""_x000D_
_x000D_
""Cigarren [...] C. F. Ebert [...]"""
Carl Friedrich Mylius;Fahrgasse, Häuserreihe gegenüber der alten Mehlwaage;Stadttopographie;C07969;1881;1890;1886;Fotografie;Frankfurt am Main-Altstadt, Fahrgasse;"Bildmaß: 23,6 x 18,3 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"auf Karton aufgezogen; Passepartout-Karton; Papier; Albuminabzug";"verso, unten rechts: ""Aufnahme und Geschenk von C. F. Mylius 1886."" (Bleistift, nicht die Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Die Fahrgasse war eine sehr belebte Wohn- und Geschäftsstraße, die von der Zeil über die Schnurgasse direkt zur Alten Brücke führte._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 52)_x000D_
_x000D_
_x000D_
_x000D_
Die Geschäftswerbung von links nach rechts:_x000D_
_x000D_
""Eisen_x000D_
Stahl_x000D_
Messing_x000D_
Waaren_x000D_
Ph. Manberger [sic]_x000D_
Holz.Fournier_x000D_
Handlung""_x000D_
_x000D_
""Holz u. Fournier Handlung_x000D_
Ph. Mannberger.""_x000D_
_x000D_
""A. Haagner-Fuchs""_x000D_
_x000D_
""Buchdruckerei & Verlag von Aug. Stritt""_x000D_
_x000D_
""Buchdruckerei_x000D_
von_x000D_
Aug. Stritt_x000D_
[...] Stock [...]""_x000D_
_x000D_
""Stuttgarter Schuhlager_x000D_
von_x000D_
G. A. JENSEN-HUBER""_x000D_
_x000D_
""Cigarren [...] C. F. Ebert [...]"""
Carl Friedrich Mylius;"Fahrgasse 94, Gasthaus ""König von England"", vor dem Abriß";Architektur, Stadttopographie;Ph03594;1871;1880;1875;Fotografie;"Frankfurt am Main-Altstadt, Fahrgasse 94 (Gasthof ""König von England"")";"Bildmaß: 29,4 x 20,3 cm; Blattmaß: 30,5 x 20,3 cm; Objektmaß: 52,7 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der frühere Gasthof wurde für Wohn- und Geschäftszwecke genutzt und sollte - wie schon das Gebäude rechts daneben - einem Straßendurchbruch weichen. Mylius nahm das repräsentative Motiv noch rechtzeitig auf, obwohl der Abbruch zunächst verschoben und die neue Battonstraße [sic] erst sechs Jahre später angelegt wurde._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 149)_x000D_
_x000D_
Links die Aufschrift ""WEIN CAFÉ""_x000D_
am Gasthof selber das Schild ""Waaren-Lager von J. Herzog.""_x000D_
Im Eingang:_x000D_
""N.Süskind_x000D_
1.Stock"""
Carl Friedrich Mylius;"Ansicht der Fischergasse mit Heisterhaus und dem Gasthaus ""Stadt Darmstadt"", oben im Fenster ein Portrait von Lorenz Heister";Architektur, Stadttopographie;C11972;1860;1880;um 1870;Architekturfotografie;Frankfurt am Main-Altstadt, Große Fischergasse;"Bildmaß: 26,7 x 19,6 cm; Blattmaß: 34,6 x 25,5 cm; Objektmaß: 53,1 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der Gasthof befand sich in der Großen Fischergasse zwischen Dom und Mainufer. In unmittelbarer Nähe stand die malerische Häusergruppe ""Am Roseneck"", die links noch teilweise zu sehen ist._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 147)_x000D_
_x000D_
_x000D_
Die Eigenart der beiden Häuser ist, dass sie nach oben breiter werden, rechts das Gasthaus ist ein schiefwinkeliges dreistöckiges Haus mit ausgebautem spitzen Dach, vor der Eingangstür vier Stufen, das linke Haus ist oben eineinhalb Mal breiter als unten, ab der zweiten Verbreiterung sind die Wände mit Schieferschindeln gedeckt, der Giebel hat barocke Form, im Vordergrund die gepflasterte Gasse._x000D_
Interessant ist das ins Fenster des rechten Hauses, 3. Stock, rechtes Fenster, gestellte Portraitgemälde, womit eine holländische Tradition aus dem 17. Jahrhundert aufgegriffen wird. Darunter eine zweizeilige Schrifttafel:_x000D_
""Hier ist am 19. December [sic] 1683 geboren Lorenz Heister Naturforscher der Anatomie und Chirurgie Lehrer"". (Lorenz Heister, *19. September 1683, + 18. April 1758)_x000D_
_x000D_
_x000D_
Am linken Haus das Schild ""Georg Leschhorn Herren[...]schneiderei""._x000D_
_x000D_
Am Gasthaus:_x000D_
_x000D_
""WEINHANDLUNG_x000D_
I. G. STRAUSS""_x000D_
_x000D_
""GASTHAUS_x000D_
STADT DARMSTADT""_x000D_
_x000D_
""RESTAURATION_x000D_
TABLE D'HOTE"""
